time,Speed Feedback RPM,Current FB Amps,Torque Feedback % Of Rated,Armature Volts,Field Amps,Armature Firing Angle (Deg) Angle that Voltage waveform fired upon for pulses,Armature Current Reference in Amps,Field Current Reference in Amps,Field Firing Angle in Degrees,Speed Reference in RPM,Incoming AC Line Voltage,RMS Model of Motor Heating 0-100% of Trip Level,Field Voltage in Volts,Roll RPM - After Gear Ratio of machine
07.03.2013 05:13:14.463821,512.073,214.502,1.4832,447.053,69.9697,74.5265,86.2193,69.9274,82.5262,511.1,666.158,51.9608,27.9859,120.233
07.03.2013 05:13:14.563821,510.678,137.944,0.955231,446.678,68.8814,53.6957,189.947,67.8272,82.1887,511.1,666.546,51.9364,27.7457,119.905
07.03.2013 05:13:14.663821,510.99,63.9668,0.44252,448.174,69.7607,103.854,69.5825,70.2901,81.8015,511.1,666.994,51.9242,32.6205,119.978
07.03.2013 05:13:14.763821,512.241,72.1862,0.501521,446.821,70.0822,90.9787,-51.4338,69.8041,82.5558,511.1,666.781,51.912,27.4886,120.272
07.03.2013 05:13:14.863821,511.251,149.698,1.03414,447.841,69.4095,91.644,112.238,70.3503,82.0043,511.1,666.445,51.8911,30.1612,120.04
07.03.2013 05:13:14.963821,512.76,-2.27865,-0.0183105,447.768,70.1286,73.2147,-118.493,71.5433,82.4359,511.1,666.752,51.8794,28.6686,120.394
07.03.2013 05:13:15.063821,511.38,74.8721,0.51678,445.503,70.7118,140.38,218.431,71.7496,82.7875,511.1,667.222,51.855,29.3542,120.07
07.03.2013 05:13:15.163821,508.945,15.5439,0.106814,447.198,69.6172,130.612,265.633,68.6646,83.14,511.1,667.656,51.8387,28.2335,119.498
07.03.2013 05:13:15.263821,510.367,201.108,1.39426,448.909,69.8889,47.027,326.74,70.1171,82.9892,511.1,668.319,51.8178,31.0003,119.832
07.03.2013 05:13:15.363821,510.721,239.102,1.65308,449.833,68.8336,47.5021,359.793,70.1196,82.9742,511.1,667.877,51.8062,31.19,119.915
07.03.2013 05:13:15.463821,509.708,-2.92969,-0.0193329,447.597,67.6851,89.2072,254.728,71.2457,81.6348,511.1,667.82,51.7899,32.2513,119.677
